Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
10/8/2014,348.95949,370,348.95949,370,9.89973773,3484.959768,352.025464
10/9/2014,335.46848,399.996,335.16179,370.19002,28.11519805,10348.0888,368.0603205
10/10/2014,366.99999,378.98999,355.5917,355.5917,7.77771339,2867.659999,368.702195
10/11/2014,378.82957,378.99999,357.17516,357.17874,0.46176373,169.754057,367.6210278
10/12/2014,359.53202,379.97,352.83413,379.97,16.64574342,6280.524629,377.3051447
10/13/2014,370.10392,400,370.10021,400,20.83296055,8148.945367,391.1563768
10/14/2014,400,418.98998,395.27823,411.25545,29.7296931,12144.49809,408.4972572
10/15/2014,395.04332,400.30913,385.47712,400.30913,11.22832406,4432.201968,394.7340622
10/16/2014,398.38752,398.38752,374.61003,389.14365,16.08419864,6149.595234,382.3376826
10/17/2014,385.8576,385.8576,376.73067,381.0105,0.05216063,19.94438006,382.3646314
10/18/2014,371.00373,395.79193,371.00373,395.79193,0.95977536,367.5545811,382.9589677
10/19/2014,0,0,0,0,0,0,0
10/20/2014,391.24176,391.24176,391.24176,391.24176,0.05,19.562088,391.24176
10/21/2014,390.57523,391.58111,371.00001,391.58111,10.23525506,3882.15579,379.2925303
10/22/2014,391.58111,393.49234,371.37843,388.70532,2.34818827,916.6214637,390.3526286
10/23/2014,374,374,365,368.63955,11.95253549,4403.609409,368.424709
10/24/2014,368.36564,373.69072,355,373.34819,7.60272215,2790.640299,367.0580411
10/25/2014,363.00001,363.00001,355,359.51172,7.81320053,2795.301246,357.7664793
10/26/2014,360,384.71905,360,362.5,6.12094841,2229.568568,364.2521418
10/27/2014,368.15412,368.15412,364.3,364.3,0.04323896,15.76512654,364.6046652
10/28/2014,352.01024,365.12521,352.01024,365.12521,0.58976373,211.7495349,359.0412976
10/29/2014,350.00001,350.00001,335.00987,335.06565,8.87321215,3050.001311,343.7313635
10/30/2014,335.00167,350,335,346.02084,7.56041171,2554.414811,337.8671571
10/31/2014,344.29,347.95,344.29,347.95,0.03559,12.3321541,346.5061562
11/1/2014,340.09209,340.15346,320.00001,320.00001,5.66358534,1856.321816,327.7644291
11/2/2014,320.00001,325.18843,320.00001,323.93959,0.11539963,37.37749581,323.8961495
11/3/2014,325.18843,325.18843,325,325,4.96861786,1614.80309,325.00046
11/4/2014,325,330,325,325,16.8684394,5504.376524,326.3121379
11/5/2014,329.9967,348.20467,328.20467,328.20467,9.72999417,3229.982065,331.9613567
11/6/2014,349.1749,349.1749,348,348,0.04009,13.98305488,348.7915909
11/7/2014,333,348,333,347.07869,6.60293077,2225.923267,337.1114048
11/8/2014,341.08607,349.99681,330.16235,349.99681,4.81004908,1655.508878,344.1771279
11/9/2014,347.67065,350,338.66092,350,19.35630129,6726.488731,347.508991
11/10/2014,350.04915,370,350.04915,355,3.56880398,1260.803751,353.2846741
11/11/2014,367,372.63182,360.51753,371.69669,5.42261473,1991.376656,367.2355045
11/12/2014,383.33812,430.35988,379.99,423.48202,219.4609629,88844.04025,404.8284446
11/13/2014,423.28208,450,380,415.00001,65.8841301,27127.89352,411.7515627
11/14/2014,415,417.77095,395,395,23.16341934,9488.210403,409.6204564
11/15/2014,385.78423,385.78423,378.97188,379.99,10.67866498,4048.069139,379.0800767
11/16/2014,394.99999,394.99999,379.55697,380,1.56013,593.3083194,380.2941546
11/17/2014,394.999,414.26253,376.0026,400,25.2711487,10229.16864,404.7765602
11/18/2014,390,395,370.39134,375.02445,13.22776296,5142.282064,388.7491846
11/19/2014,392.95752,392.95752,375.33574,389.99799,0.92561078,359.2692858,388.1429361
11/20/2014,389.99797,389.99797,354.32911,354.38194,67.06789779,24559.89407,366.1944817
11/21/2014,350.40522,360,342.65995,360,1.642,587.0644187,357.5300967
11/22/2014,360,369.99999,360,369.99999,4.05,1459.46096,360.3607307
11/23/2014,360,370,360,370,4.7640149,1747.898152,366.8960297
11/24/2014,370,385.00001,370,372.00001,11.24075347,4219.660431,375.389465
11/25/2014,389.99,390,376,376,10.132409,3932.921045,388.1526145
11/26/2014,372,389.94381,366.4212,372.87268,19.2376702,7396.476966,384.4788319
11/27/2014,385.68775,385.68775,365.01441,376.90071,2.3818524,895.250659,375.8631975
11/28/2014,380,387,360.52323,387,23.27336303,8810.112656,378.5491871
11/29/2014,386.999,387,379.08519,379.08519,4.1988605,1617.122336,385.133618
11/30/2014,386.31957,386.31957,386.31957,386.31957,0.00159536,0.616318789,386.31957
12/1/2014,385.35387,386.744,370.13181,374.02594,4.17619,1562.325327,374.1030286
12/2/2014,380,386.15427,372.90994,375.0971,4.66812703,1761.478052,377.3414993
12/3/2014,375.29089,384.88368,371.45606,380,22.62850461,8517.887636,376.4229136
12/4/2014,380,380,364.71891,379.74829,3.76303172,1394.610785,370.6082992
